"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2021","64.000","64.600","64.600","60.500","879.15K","-0.93%"
"11/18/2021","64.600","65.450","65.800","64.000","155.85K","-1.97%"
"11/17/2021","65.900","66.100","66.100","65.200","68.58K","-0.30%"
"11/16/2021","66.100","66.000","66.350","65.150","194.07K","-0.60%"
"11/15/2021","66.500","65.900","66.500","63.700","431.32K","0.99%"
"11/12/2021","65.850","64.900","65.900","64.900","136.97K","1.46%"
"11/11/2021","64.900","66.750","66.750","64.550","531.26K","-2.63%"
"11/10/2021","66.650","68.300","68.300","66.450","275.13K","-2.42%"
"11/09/2021","68.300","66.000","68.400","64.000","1.24M","3.48%"
"11/08/2021","66.000","64.000","66.000","64.000","600.71K","3.21%"
"11/05/2021","63.950","63.000","64.750","63.000","1.25M","1.51%"
"11/04/2021","63.000","63.700","63.700","59.300","408.60K","-1.10%"
"11/03/2021","63.700","63.300","63.750","63.000","824.93K","0.63%"
"11/02/2021","63.300","61.000","64.000","60.000","2.50M","1.69%"
"10/29/2021","62.250","61.000","62.500","60.000","1.92M","1.97%"
"10/28/2021","61.050","61.800","61.800","59.850","826.03K","-1.37%"
"10/27/2021","61.900","60.000","61.900","59.700","1.10M","3.17%"
"10/26/2021","60.000","60.050","60.250","59.250","485.79K","-0.08%"
"10/25/2021","60.050","60.650","60.750","59.600","184.19K","-0.91%"
"10/22/2021","60.600","60.000","60.900","59.500","677.03K","1.00%"
"10/21/2021","60.000","60.500","60.900","60.000","1.00M","0.00%"
"10/20/2021","60.000","59.800","60.500","59.450","690.74K","0.84%"
"10/19/2021","59.500","58.500","59.900","58.500","945.12K","1.71%"
"10/18/2021","58.500","61.300","61.500","58.000","1.48M","-4.57%"
"10/15/2021","61.300","62.800","63.000","61.050","698.80K","-2.70%"
"10/14/2021","63.000","59.500","63.000","59.500","2.46M","5.88%"
"10/13/2021","59.500","59.900","60.500","58.500","1.09M","-0.83%"
"10/12/2021","60.000","60.000","61.000","59.650","1.46M","0.17%"
"10/11/2021","59.900","60.000","60.650","59.900","342.40K","0.00%"
"10/08/2021","59.900","59.000","61.000","58.600","1.44M","-0.17%"
"10/07/2021","60.000","61.100","62.500","58.600","2.46M","-1.80%"
"10/06/2021","61.100","58.200","61.100","56.500","4.11M","4.98%"
"10/05/2021","58.200","55.250","58.500","55.000","4.05M","5.34%"
"10/04/2021","55.250","52.600","56.000","52.500","3.94M","5.04%"
"10/01/2021","52.600","52.000","53.000","51.800","1.20M","1.54%"
"09/30/2021","51.800","50.400","52.200","50.200","755.50K","3.60%"
"09/29/2021","50.000","50.050","50.200","49.800","289.46K","0.00%"
"09/28/2021","50.000","50.200","50.400","49.950","938.93K","0.00%"
"09/27/2021","50.000","50.700","50.700","49.900","997.70K","0.10%"
"09/24/2021","49.950","49.900","50.400","49.250","1.98M","1.42%"
"09/23/2021","49.250","49.400","49.950","49.150","1.22M","0.51%"
"09/22/2021","49.000","49.200","49.300","48.650","1.36M","-0.31%"
"09/21/2021","49.150","49.700","49.750","48.500","1.15M","-1.21%"
"09/20/2021","49.750","50.000","50.000","49.400","645.30K","-0.10%"
"09/17/2021","49.800","49.350","50.300","49.350","1.42M","1.22%"
"09/16/2021","49.200","49.350","49.600","49.000","1.22M","-0.10%"
"09/15/2021","49.250","49.400","49.550","49.250","1.81M","-0.51%"
"09/14/2021","49.500","49.650","49.650","49.450","2.13M","-0.30%"
"09/13/2021","49.650","49.850","49.850","49.650","2.65M","-0.20%"
"09/10/2021","49.750","49.900","49.900","49.700","1.04M","-0.10%"
"09/09/2021","49.800","49.900","49.900","49.800","871.40K","-0.20%"
"09/08/2021","49.900","50.650","50.650","49.900","991.50K","-0.10%"
"09/07/2021","49.950","50.400","50.400","49.800","1.91M","0.00%"
"09/06/2021","49.950","50.500","50.900","49.850","967.50K","0.00%"
"09/03/2021","49.950","50.000","50.900","49.900","1.20M","-0.10%"
"09/02/2021","50.000","50.150","51.150","50.000","1.60M","-0.20%"
"09/01/2021","50.100","51.000","51.350","50.100","702.70K","-1.76%"
"08/31/2021","51.000","50.900","51.000","49.950","2.52M","0.20%"
"08/27/2021","50.900","51.000","51.050","50.250","549.38K","1.80%"
"08/26/2021","50.000","52.000","52.100","49.750","1.80M","-2.53%"
"08/25/2021","51.300","50.800","51.650","50.800","545.60K","1.68%"
"08/24/2021","50.450","50.700","51.000","50.000","683.77K","0.90%"
"08/23/2021","50.000","51.400","51.900","50.000","539.37K","-2.53%"
"08/20/2021","51.300","51.200","52.400","51.200","688.54K","0.39%"
"08/19/2021","51.100","50.100","51.500","50.000","1.02M","2.20%"
"08/18/2021","50.000","49.900","50.250","49.450","555.90K","0.91%"
"08/17/2021","49.550","50.000","50.000","49.050","734.38K","-0.90%"
"08/16/2021","50.000","49.800","50.150","49.700","548.40K","1.83%"
"08/13/2021","49.100","50.400","50.600","49.100","1.17M","-1.80%"
"08/12/2021","50.000","50.400","50.400","49.800","506.31K","-0.99%"
"08/11/2021","50.500","51.150","51.450","50.400","214.10K","-0.98%"
"08/10/2021","51.000","51.250","51.300","50.500","520.61K","0.99%"
"08/09/2021","50.500","49.000","50.500","49.000","850.70K","3.06%"
"08/06/2021","49.000","50.650","51.350","48.950","2.43M","-2.58%"
"08/05/2021","50.300","53.200","53.200","50.300","1.55M","-4.19%"
"08/04/2021","52.500","53.450","53.450","52.050","240.67K","-0.94%"
"08/03/2021","53.000","51.850","53.000","51.850","111.92K","2.61%"
"08/02/2021","51.650","53.700","53.700","51.650","221.56K","-3.82%"
"07/30/2021","53.700","54.000","54.000","52.000","280.30K","-0.56%"
"07/29/2021","54.000","53.500","54.000","52.000","336.57K","0.93%"
"07/28/2021","53.500","53.500","53.900","52.550","514.83K","0.00%"
"07/27/2021","53.500","53.000","53.650","51.800","755.96K","0.47%"
"07/26/2021","53.250","53.000","53.250","51.400","496.12K","0.47%"
"07/23/2021","53.000","53.300","53.300","52.100","183.27K","-0.09%"
"07/22/2021","53.050","52.000","53.600","52.000","98.03K","1.63%"
"07/21/2021","52.200","52.900","53.050","51.700","880.89K","-1.32%"
"07/19/2021","52.900","52.600","52.900","51.000","530.13K","-0.19%"
"07/16/2021","53.000","55.500","55.700","52.450","643.71K","-3.64%"
"07/15/2021","55.000","56.250","56.250","54.800","724.96K","-1.79%"
"07/14/2021","56.000","57.000","57.000","55.400","889.05K","-1.93%"
"07/13/2021","57.100","56.950","57.200","56.000","584.31K","0.26%"
"07/12/2021","56.950","55.550","57.200","55.550","863.84K","3.17%"
"07/09/2021","55.200","55.300","55.300","54.050","608.01K","0.00%"
"07/08/2021","55.200","56.000","56.000","55.000","446.05K","-1.43%"
"07/07/2021","56.000","57.500","57.600","56.000","628.40K","-2.44%"
"07/06/2021","57.400","56.800","57.950","56.700","898.74K","1.32%"
"07/05/2021","56.650","55.600","56.650","55.450","1.47M","1.80%"
"07/02/2021","55.650","55.600","56.200","55.200","2.00M","0.00%"
"07/01/2021","55.650","53.700","55.800","53.600","2.20M","3.63%"
"06/30/2021","53.700","52.500","54.400","52.500","1.01M","2.78%"
"06/29/2021","52.250","53.000","53.150","52.150","1.20M","-1.42%"
"06/28/2021","53.000","53.200","53.350","52.900","1.33M","-0.38%"
"06/25/2021","53.200","53.500","53.650","52.700","943.15K","0.00%"
"06/24/2021","53.200","53.600","53.700","52.700","794.55K","-0.65%"
"06/23/2021","53.550","52.950","53.550","52.950","922.51K","2.00%"
"06/22/2021","52.500","51.000","52.750","50.900","1.08M","2.94%"
"06/21/2021","51.000","50.600","51.400","50.300","363.98K","1.39%"
"06/18/2021","50.300","51.000","51.600","50.000","1.14M","0.60%"
"06/17/2021","50.000","51.100","52.000","50.000","1.89M","-2.15%"
"06/16/2021","51.100","52.050","52.050","51.000","1.03M","-1.06%"
"06/15/2021","51.650","51.900","52.000","51.200","412.82K","1.08%"
"06/14/2021","51.100","51.900","52.000","51.100","843.76K","0.10%"
"06/11/2021","51.050","52.800","53.200","51.050","1.84M","-2.95%"
"06/10/2021","52.600","53.450","53.750","52.500","509.49K","-0.47%"
"06/09/2021","52.850","53.400","53.700","52.850","821.98K","-1.12%"
"06/08/2021","53.450","54.000","54.000","53.200","212.85K","-0.47%"
"06/07/2021","53.700","53.950","54.000","53.350","399.37K","1.32%"
"06/04/2021","53.000","52.500","54.000","52.400","1.16M","0.95%"
"06/03/2021","52.500","52.500","53.000","51.700","1.04M","0.00%"
"06/02/2021","52.500","50.050","52.500","50.050","999.20K","5.21%"
"06/01/2021","49.900","51.400","51.400","49.550","490.37K","-2.92%"
"05/31/2021","51.400","52.100","52.300","50.100","425.12K","-0.77%"
"05/28/2021","51.800","51.000","52.300","51.000","1.22M","2.17%"
"05/27/2021","50.700","52.600","52.600","50.700","5.22M","-3.43%"
"05/26/2021","52.500","51.750","52.600","51.000","939.85K","3.35%"
"05/25/2021","50.800","49.800","51.100","49.800","1.10M","2.01%"
"05/24/2021","49.800","49.200","50.500","49.200","1.07M","1.22%"
"05/21/2021","49.200","48.650","49.600","48.650","1.44M","0.61%"
"05/20/2021","48.900","49.000","49.500","48.600","568.30K","0.82%"
"05/19/2021","48.500","50.000","50.100","48.500","750.50K","-2.02%"
"05/18/2021","49.500","48.900","49.900","48.600","624.60K","1.12%"
"05/17/2021","48.950","50.000","50.000","48.950","692.80K","0.00%"
"05/14/2021","48.950","48.901","49.391","48.705","1.27M","-1.71%"
"05/12/2021","49.800","51.100","51.200","49.300","2.81M","-1.19%"
"05/11/2021","50.400","51.300","51.500","50.350","1.61M","-2.14%"
"05/10/2021","51.500","52.300","52.300","51.050","610.40K","0.98%"
"05/07/2021","51.000","52.350","52.350","50.700","1.01M","-0.97%"
"05/06/2021","51.500","52.800","52.800","51.400","588.01K","-0.39%"
"05/05/2021","51.700","52.900","52.900","51.650","3.50M","-0.58%"
"05/04/2021","52.000","52.850","53.000","52.000","494.94K","-1.14%"
"05/03/2021","52.600","52.550","53.000","52.400","664.97K","0.19%"
"04/30/2021","52.500","52.950","52.950","52.000","971.98K","1.16%"
"04/29/2021","51.900","52.000","53.450","51.500","3.01M","0.00%"
"04/28/2021","51.900","52.700","52.700","51.750","1.82M","0.78%"
"04/27/2021","51.500","52.000","52.100","51.350","1.26M","-0.96%"
"04/26/2021","52.000","52.150","52.450","51.950","313.44K","-0.19%"
"04/23/2021","52.100","52.000","53.000","51.500","205.10K","0.29%"
"04/22/2021","51.950","51.200","51.950","51.200","523.45K","1.46%"
"04/21/2021","51.200","51.000","52.000","50.950","406.70K","0.79%"
"04/20/2021","50.800","54.100","54.100","50.150","2.16M","-3.79%"
"04/19/2021","52.800","54.500","54.500","52.500","1.11M","-3.03%"
"04/16/2021","54.450","55.350","55.350","54.050","810.75K","-1.63%"
"04/15/2021","55.350","55.050","55.800","55.050","379.08K","0.27%"
"04/14/2021","55.200","56.500","56.500","54.150","763.12K","-2.13%"
"04/13/2021","56.400","55.000","56.500","55.000","314.64K","2.55%"
"04/12/2021","55.000","55.000","56.000","54.800","581.51K","0.00%"
"04/08/2021","55.000","55.100","55.400","54.850","531.02K","0.00%"
"04/07/2021","55.000","55.700","55.800","54.850","2.03M","-1.08%"
"04/06/2021","55.600","56.800","56.800","55.400","2.48M","0.00%"
"04/05/2021","55.600","57.200","57.200","55.550","204.41K","-2.88%"
"03/31/2021","57.250","57.000","57.750","56.050","265.59K","0.44%"
"03/30/2021","57.000","57.500","57.850","56.850","275.70K","-0.87%"
"03/29/2021","57.500","56.700","58.000","56.500","850.52K","-0.78%"
"03/26/2021","57.950","57.450","57.950","56.850","589.08K","0.87%"
"03/25/2021","57.450","57.900","57.900","57.100","877.09K","-0.78%"
"03/24/2021","57.900","54.750","59.400","53.900","1.49M","5.75%"
"03/23/2021","54.750","53.000","54.750","52.800","566.97K","3.30%"
"03/22/2021","53.000","52.000","53.750","52.000","486.96K","1.53%"
"03/19/2021","52.200","53.450","53.750","52.000","706.19K","-3.33%"
"03/18/2021","54.000","52.900","54.000","52.900","1.48M","2.08%"
